brand,product_name,barcode,image_url,category
Rubicon,Sparkling Mango,5000382115298,,Drinks
Rubicon,Sparkling Mango 330 ml,5011898002019,,Drinks
Rubicon,Sparkling Pomegranate Juice Drink Can,5011898006017,,Drinks
Blue Band,Spread,6034000002072,,Uncategorized
Knorr,Stock Cube Beef 72g,8710522941157,,Meat/Seafood & Poultry
Supermalt,Supermalt Original,5741000000021,https://images.openfoodfacts.org/images/products/574/100/000/0021/front_en.6.400.jpg,Uncategorized
Tropical Sun,Sweet Mango Chilli Sauce,5029788158869,https://images.openfoodfacts.org/images/products/502/978/815/8869/front_en.18.400.jpg,Uncategorized
Grace,Sweet plantain chips,5035139219059,https://images.openfoodfacts.org/images/products/503/513/921/9059/front_en.3.400.jpg,Snacks & Confectionery
Tropical Sun,Sweetened condensed milk,5029788161005,https://images.openfoodfacts.org/images/products/502/978/816/1005/front_fr.4.400.jpg,Uncategorized
Grace,"Süße Mango Chilisauce, medium imp",5012389900173,https://images.openfoodfacts.org/images/products/501/238/990/0173/front_en.23.400.jpg,Uncategorized
Tom Brown,Tom Brown Hausa Cocoa,,,Uncategorized
Grace,Tostones Exotic Green Plantain Chips,0055270973196,,Snacks & Confectionery
Walkerswood,"Traditional Jamaican Jerk Seasoning, Hot & Spicy",0015414541216;015414541216,,Spices/Condiments/Seasonings
Walkerswood,Traditional Jerk Seasoning 10 oz,0015414000195;015414000195,,Spices/Condiments/Seasonings
Tropical Sun,Tropical Nata De Coco Mango,8712857971809,https://images.openfoodfacts.org/images/products/871/285/797/1809/front_fr.9.400.jpg,Uncategorized
Grace,Tropical rhythms sorrel and ginger,0055270871904,https://images.openfoodfacts.org/images/products/005/527/087/1904/front_en.3.400.jpg,Uncategorized
Tropical Sun,Tropical Sun Chicken Stock Powder,5029788175019,https://images.openfoodfacts.org/images/products/502/978/817/5019/front_fr.3.400.jpg,Meat/Seafood & Poultry
Tropical Sun,Tropical Sun Jamaican Jerk Season,5029788162873,https://images.openfoodfacts.org/images/products/502/978/816/2873/front_fr.5.400.jpg,Uncategorized
Tropiway,Tropiway Plantain Fufu / Coco Yam,,,Flour & Starches
Grace,Virginia Coconut Oil,62575133,https://images.openfoodfacts.org/images/products/000/006/257/5133/front_fr.3.400.jpg,Hair & Beauty Products
VitaMalt,Vita Malt,0008361860110;008361860110,,Uncategorized
Baron,West Indian Hot Sauce,0733553051556;733553051556,,Uncategorized
,X-Pression Ultra Braid,,https://duudafricanfoods.com/wp-content/uploads/2021/11/4ACD3C47-6716-426C-98E9-F9132EC3B5F3.jpeg,Wigs & Hair Extensions
,Xpression Kanekalon Braid Hair,,https://duudafricanfoods.com/wp-content/uploads/2021/11/IMG_2195.jpg,Wigs & Hair Extensions
Unbranded,Yam Flour (Elubo) 3 kg,,,Flour & Starches
